//configuration
//#alleledigits(1~4)	#outputdigits(0~10)	#missingallele	#ambiguousallele	#nthreads(1~64)
3	8	000	999	4
//genotype		
Ind	Pop	Am059	Am14	Am005	Am46	Am52	Am061
D1_10	C1	217	140	108	101	143	230
D1_11	C1	223	140	108	101	143	230
D1_12	C1	223	140	108	101	140	230
D1_13	C1	223	136	108	101	140	230
D1_14	C1	223	140	108	101	143	230
D1_15	C1	217	136	108	094	143	230
D1_16	C1	000	140	108	000	000	230
D1_17	C1	217	136	100	101	143	230
D1_18	C1	223	140	108	094	140	230
D1_19	C1	223	136	100	101	140	230
D1_20	C1	223	140	108	101	143	230
D1_21	C1	223	140	108	101	143	230
D1_22	C1	223	136	108	101	140	230
D1_23	C1	217	000	000	094	143	000
D1_24	C1	217	000	000	094	140	000
D1_25	C1	223	140	100	094	140	230
D1_26	C1	223	000	000	101	143	230
D1_27	C1	217	136	108	094	140	230
D1_28	C1	217	140	108	094	140	230
D1_29	C1	223	136	100	094	140	230
D1_30	C1	217	136	100	094	140	230
D1_31	C1	217	140	100	101	140	000
D1_32	C1	223	140	108	101	140	230
D1_33	C1	000	140	100	101	000	230
D1_34	C1	000	136	108	000	000	230
D1_35	C1	000	136	100	101	000	230
D1_36	C1	000	140	100	101	000	230
D1_37	C1	000	140	100	101	140	230
D1_38	C1	000	140	000	000	000	230
D1_39	C1	000	140	100	101	000	230
D1_40	C1	217	000	100	101	143	000
D1_41	C1	223	140	100	101	140	230
D1_42	C1	217	140	100	094	140	230
D1_43	C1	223	140	100	101	140	230
D1_44	C1	217	140	100	094	140	230
D1_45	C1	223	136	108	101	140	230
D1_46	C1	223	136	108	101	143	230
D1_47	C1	223	000	100	101	143	000
D1_48	C1	223	000	000	094	143	000
D1_49	C1	223	136	100	101	140	000
D1_50	C1	223	136	108	094	140	230
D1_51	C1	217	136	108	101	140	230
D1_52	C1	223	140	108	101	140	230
D1_53	C1	217	136	108	094	143	230
D1_54	C1	223	136	108	094	143	230
D1_55	C1	223	136	108	101	143	230
D1_56	C1	223	140	108	094	140	230
D1_57	C1	217	136	108	101	143	230
D1_58	C1	223	140	100	101	140	230
D1_59	C1	217	136	108	094	143	230
D1_60	C1	217	140	100	094	143	230
D1_61	C1	223	140	100	101	140	230
D1_62	C1	223	136	108	094	143	230
D1_63	C1	223	136	100	101	143	230
D1_64	C1	223	140	108	094	143	230
D1_65	C1	223	140	100	094	143	230
D1_66	C1	217	136	108	094	140	230
D1_67	C1	217	136	108	101	143	230
D1_68	C1	223	140	108	094	140	230
D1_69	C1	217	136	000	000	143	230
D1_70	C1	217	136	100	101	143	230
D1_71	C1	223	140	108	101	140	230
D1_72	C1	217	136	100	094	140	230
D1_73	C1	217	140	100	101	143	230
D1_74	C1	217	136	100	094	143	230
D1_75	C1	223	136	108	094	140	230
D1_76	C1	217	136	108	094	143	230
D1_77	C1	217	136	100	094	140	230
D1_78	C1	217	136	100	094	143	230
D1_79	C1	223	140	108	101	140	230
D1_80	C1	217	136	100	101	143	230
D1_81	C1	217	136	100	101	143	230
D1_82	C1	217	140	108	101	143	230
D1_83	C1	223	136	108	094	140	230
D1_84	C1	223	136	100	094	143	230
D1_85	C1	217	140	108	101	140	230
D1_86	C1	217	136	100	094	140	230
D1_87	C1	217	140	100	094	140	230
D1_88	C1	217	140	100	101	143	230
D1_89	C1	223	136	100	094	140	230
D1_90	C1	217	140	108	094	140	230
D1_91	C1	223	140	100	101	140	230
D1_92	C1	223	136	100	094	143	230
D1_93	C1	223	140	100	094	143	230
D1_94	C1	223	140	100	101	143	230
D1_95	C1	217	136	100	094	140	230
Q2	C2	215215	138142	107117	097119	145150	228232
W2_1	C2	215217	000000	107107	000000	150152	217232
W2_2	C2	215217	000000	107117	000000	150152	217232
W2_3	C2	215217	000000	107107	000000	150152	217228
W2_4	C2	215227	000000	106117	000000	140150	228230
W2_5	C2	215227	000000	106107	000000	140150	230232
W2_6	C2	215217	000000	107117	000000	145152	217228
W2_7	C2	213215	000000	100117	000000	145155	217232
W2_8	C2	215217	000000	101107	000000	150153	228232
W2_9	C2	213215	000000	100117	000000	145155	217232
W2_10	C2	213215	000000	100107	000000	145155	217228
W2_11	C2	215223	000000	098117	000000	145150	215228
W2_12	C2	215227	000000	106107	000000	140150	228230
W2_14	C2	215219	000000	102117	000000	143145	221228
W2_15	C2	215217	000000	107117	000000	145152	217232
W2_16	C2	215227	000000	106107	000000	140145	228230
W2_17	C2	215219	000000	102117	000000	143145	221228
W2_18	C2	215227	000000	106107	000000	140150	230232
W2_19	C2	215227	000000	106117	000000	140145	228230
W2_20	C2	215217	000000	107107	000000	145152	217228
W2_21	C2	215223	000000	098107	000000	150150	215228
W2_22	C2	213215	000000	100117	000000	145155	217228
W2_23	C2	215223	000000	098117	000000	145150	215228
W2_24	C2	215223	000000	098117	000000	150150	215232
W2_25	C2	215223	000000	098107	000000	145150	215228
W2_26	C2	215223	000000	098117	000000	145150	215232
W2_27	C2	215217	000000	107117	000000	145152	217232
W2_28	C2	213215	000000	100117	000000	150155	217228
W2_29	C2	215223	000000	098107	000000	145150	215232
W2_30	C2	215217	000000	096107	000000	145150	217232
W2_32	C2	215219	000000	102107	000000	143150	221232
W2_33	C2	215219	000000	102117	000000	143145	221232
W2_34	C2	215223	000000	098107	000000	150150	215228
W2_35	C2	215223	000000	098117	000000	150150	215232
W2_36	C2	213215	000000	100107	000000	150155	217232
W2_37	C2	215219	000000	102117	000000	143145	221232
W2_38	C2	215227	000000	106117	000000	140150	230232
W2_39	C2	213215	000000	100107	000000	150155	217228
W2_40	C2	215217	000000	107107	000000	150152	217232
W2_41	C2	215227	000000	106107	000000	140145	228230
W2_42	C2	215217	000000	107107	000000	145152	217232
W2_43	C2	213215	000000	100117	000000	145155	217228
W2_44	C2	211215	000000	107117	000000	140150	228234
W2_45	C2	215219	000000	102117	000000	143150	221232
W2_46	C2	213215	000000	100117	000000	150155	217232
W2_47	C2	215219	000000	102107	000000	143150	221228
W2_48	C2	215219	000000	102117	000000	143150	221232
W2_49	C2	215217	000000	107117	000000	145152	217228
W2_50	C2	215223	000000	098107	000000	145150	215228
W2_51	C2	215219	000000	102107	000000	143150	221228
W2_52	C2	213215	000000	100107	000000	150155	217232
W2_53	C2	215217	000000	107107	000000	150152	217232
W2_54	C2	215227	000000	106117	000000	140145	228230
W2_55	C2	215217	000000	107117	000000	150152	217232
W2_56	C2	213215	000000	100107	000000	145155	217232
W2_57	C2	215223	000000	098117	000000	150150	215232
W2_58	C2	215217	000000	107107	000000	145152	217232
W2_59	C2	215227	000000	106117	000000	140150	228230
W2_60	C2	215227	000000	106117	000000	140150	000000
D2_1	C2	215	000	000	000	150	000
D2_2	C2	215	138	107	000	000	228
D2_3	C2	215	142	117	000	145	232
D2_4	C2	215	142	117	000	150	232
D2_5	C2	215	142	107	000	150	228
D2_6	C2	215	138	117	000	150	228
D2_7	C2	215	142	107	000	145	232
D2_8	C2	215	138	107	000	150	228
D2_9	C2	215	142	107	000	150	228
D2_10	C2	215	142	117	000	145	232
D2_11	C2	215	142	117	000	150	228
D2_12	C2	215	142	107	000	145	232
D2_13	C2	215	142	107	000	150	228
D2_14	C2	215	138	117	000	145	228
D2_15	C2	215	142	117	000	145	228
D2_16	C2	215	142	117	000	145	232
D2_17	C2	215	138	117	000	150	228
D2_18	C2	215	142	107	000	145	228
D2_19	C2	215	142	107	000	150	232
D2_20	C2	215	142	117	000	145	228
D2_21	C2	215	142	117	000	145	232
D2_22	C2	215	142	107	000	000	232
D2_23	C2	215	142	107	000	150	228
D2_24	C2	215	138	117	000	145	228
D2_25	C2	215	142	107	000	145	232
D2_26	C2	215	138	107	000	150	232
D2_27	C2	215	142	117	000	145	228
D2_28	C2	215	142	117	000	150	232
D2_29	C2	215	138	107	000	150	232
D2_30	C2	215	138	107	000	150	228
D2_31	C2	215	138	107	000	145	232
D2_32	C2	215	138	107	000	145	228
D2_33	C2	215	138	117	000	150	232
D2_34	C2	215	142	117	000	150	232
D2_35	C2	215	138	117	000	145	232
D2_36	C2	215	000	107	000	150	228
D2_37	C2	215	142	107	000	150	232
D2_38	C2	215	142	107	000	145	232
D2_39	C2	215	142	117	000	150	232
D2_40	C2	215	138	117	000	145	228
D2_41	C2	215	142	117	000	145	232
D2_42	C2	215	142	117	000	150	232
D2_43	C2	215	142	117	000	150	232
D2_44	C2	215	138	117	000	150	228
D2_45	C2	215	142	107	000	150	232
D2_46	C2	215	138	107	000	150	232
D2_47	C2	215	138	107	000	145	228
D2_48	C2	215	142	107	000	150	232
D2_49	C2	215	142	107	000	145	232
D2_50	C2	215	142	117	000	145	228
D2_51	C2	215	138	107	000	145	232
D2_52	C2	215	142	107	000	150	232
D2_53	C2	215	138	107	000	000	228
D2_54	C2	215	138	107	000	145	232
D2_55	C2	215	138	117	000	150	232
D2_56	C2	215	138	117	000	000	232
D2_57	C2	215	142	107	000	150	232
D2_58	C2	215	142	107	000	150	228
D2_59	C2	215	142	117	000	145	232
D2_60	C2	215	138	117	000	150	232
D2_61	C2	215	138	117	000	145	232
D2_62	C2	215	138	117	000	150	232
D2_63	C2	215	142	117	000	145	228
D2_64	C2	215	138	107	000	150	232
D2_65	C2	215	142	117	000	145	228
D2_66	C2	215	142	117	000	150	232
D2_67	C2	215	142	107	000	150	228
D2_68	C2	215	138	107	000	145	228
D2_69	C2	215	138	107	000	150	232
D2_70	C2	215	138	117	000	145	228
D2_71	C2	215	138	117	000	145	228
D2_72	C2	000	142	000	000	000	232
D2_73	C2	215	142	107	000	145	228
D2_74	C2	215	142	117	000	150	232
D2_75	C2	215	138	107	000	150	228
D2_76	C2	215	138	117	000	145	232
D2_77	C2	215	142	117	000	145	228
D2_78	C2	215	138	107	000	145	228
D2_80	C2	215	138	107	000	150	232
D2_81	C2	215	138	107	000	150	228
D2_82	C2	215	138	107	000	145	232
D2_83	C2	215	142	107	000	150	228
D2_84	C2	215	142	107	000	150	228
D2_85	C2	215	138	107	000	150	232
D2_86	C2	215	138	117	000	150	232
D2_87	C2	215	142	107	000	150	232
D2_88	C2	215	142	107	000	000	232
D2_89	C2	215	000	000	000	145	000
D2_90	C2	215	000	000	000	150	000
D2_91	C2	215	138	107	000	150	232
D2_92	C2	215	142	117	000	145	232
D2_93	C2	215	138	117	000	150	232
D2_94	C2	215	138	117	000	150	228
D2_95	C2	215	138	107	000	145	232
D2_96	C2	215	142	107	000	145	228
Q3	C3	215223	126160	110113	094099	144150	215219
W3_2	C3	000000	000000	110111	099099	144150	215222
W3_3	C3	000000	000000	108113	099099	143150	217219
W3_4	C3	000000	000000	104113	094101	144144	215221
W3_5	C3	000000	000000	113113	094094	000000	215215
W3_6	C3	000000	000000	110117	097099	140150	219221
W3_7	C3	000000	000000	110110	099110	143150	215219
W3_8	C3	000000	000000	108113	094099	143150	215217
W3_9	C3	000000	000000	113118	094099	143150	215215
W3_10	C3	000000	000000	104110	088094	139150	219221
W3_11	C3	000000	000000	102110	088099	144144	215234
W3_12	C3	000000	000000	113113	094099	139144	215219
W3_13	C3	000000	000000	107113	099099	140150	219234
W3_14	C3	000000	000000	113113	099099	144154	215219
W3_15	C3	000000	000000	107113	094099	140150	215234
W3_16	C3	000000	000000	000000	094099	143150	217219
W3_17	C3	000000	000000	113113	094094	144154	215215
W3_18	C3	000000	000000	111113	094094	150150	219222
W3_19	C3	000000	000000	108110	099099	143144	217219
W3_20	C3	000000	000000	107113	094119	144152	215217
W3_22	C3	000000	000000	110110	099110	143144	215219
W3_24	C3	000000	000000	099110	099121	144144	211215
W3_25	C3	000000	000000	110127	088099	144144	215219
W3_26	C3	000000	000000	113117	094097	140150	219221
W3_27	C3	000000	000000	111113	099104	144150	215217
W3_29	C3	000000	000000	104110	099101	139150	219221
W3_30	C3	000000	000000	099113	097099	150152	215219
W3_31	C3	000000	000000	110110	091099	139150	219242
W3_32	C3	000000	000000	111113	094099	140150	219228
W3_33	C3	000000	000000	110110	099110	143150	215215
W3_34	C3	000000	000000	102113	088094	143150	219219
W3_35	C3	000000	000000	110117	099110	143150	215219
W3_36	C3	000000	000000	099113	097099	150152	215219
W3_37	C3	000000	000000	098110	094097	150152	215219
W3_38	C3	000000	000000	113118	099099	143150	215229
W3_39	C3	000000	000000	108110	099099	143144	215217
W3_40	C3	000000	000000	110110	094099	140144	215228
W3_41	C3	000000	000000	098113	094097	144152	219219
W3_42	C3	000000	000000	113117	094097	140150	219221
W3_43	C3	000000	000000	113113	094099	139144	219242
W3_44	C3	000000	000000	110111	099116	144150	219226
W3_45	C3	000000	000000	108110	099099	144154	219251
W3_46	C3	000000	000000	113118	094099	143150	215229
W3_47	C3	000000	000000	113113	094102	150156	215215
W3_48	C3	000000	000000	100110	094099	143144	215240
W3_49	C3	000000	000000	110118	099099	143144	215229
W3_50	C3	000000	000000	113127	088094	143150	219219
W3_51	C3	000000	000000	110111	094101	150150	219226
W3_52	C3	000000	000000	110110	094094	144154	215219
W3_53	C3	000000	000000	000000	092099	000000	215226
W3_54	C3	000000	000000	104113	094106	150154	215242
W3_55	C3	000000	000000	110111	094099	140144	219228
W3_56	C3	000000	000000	108113	099099	150154	219251
W3_57	C3	000000	000000	102110	088094	144150	219219
W3_58	C3	000000	000000	110117	099110	143144	215215
W3_59	C3	000000	000000	111113	094101	150150	219226
W3_60	C3	000000	000000	110110	099119	144150	219230
W3_61	C3	000000	000000	102113	088099	144150	219234
W3_62	C3	000000	000000	110111	099101	144150	219226
W3_63	C3	000000	000000	104113	099106	144154	215242
W3_64	C3	000000	000000	100113	094099	143150	219240
W3_65	C3	000000	000000	104110	099106	150154	219242
W3_66	C3	000000	000000	113113	094102	150156	215219
W3_67	C3	000000	000000	104113	099099	139144	217219
W3_68	C3	000000	000000	104110	088094	139150	219221
W3_69	C3	000000	000000	102110	088094	144144	215219
W3_70	C3	000000	000000	104113	099106	150154	219242
W3_71	C3	000000	000000	110110	094119	144144	219230
W3_72	C3	000000	000000	110117	099110	143144	215215
W3_73	C3	000000	000000	110118	099119	144144	215230
W3_74	C3	000000	000000	110117	099110	143144	215215
W3_75	C3	000000	000000	104113	094101	139144	215221
W3_76	C3	000000	000000	110110	094110	143144	215219
W3_77	C3	000000	000000	110117	094110	143144	215219
W3_78	C3	000000	000000	096110	092099	144144	215226
W3_79	C3	000000	000000	099110	094101	139150	213215
W3_80	C3	000000	000000	108113	099099	143144	215217
W3_81	C3	000000	000000	102113	099125	140144	215234
W3_82	C3	000000	000000	110111	094116	150150	215226
W3_83	C3	000000	000000	108113	094099	143144	215217
W3_84	C3	000000	000000	104113	088094	139144	219221
W3_85	C3	000000	000000	111113	099099	150150	000000
W3_86	C3	000000	000000	110110	099110	143144	215215
W3_87	C3	000000	000000	110110	094102	144155	215215
W3_88	C3	000000	000000	113113	094119	144144	215215
W3_89	C3	000000	000000	104110	094094	139144	215217
W3_90	C3	000000	000000	099113	099121	145150	211219
W3_91	C3	000000	000000	113127	088099	143144	215219
W3_92	C3	000000	000000	102113	088094	144150	215234
D3_1	C3	215	160	110	094	150	215
D3_2	C3	223	126	113	094	150	215
D3_3	C3	223	126	110	094	150	215
D3_4	C3	223	126	110	099	144	215
D3_5	C3	223	126	110	099	150	215
D3_6	C3	215	160	110	094	144	219
D3_7	C3	215	000	000	094	150	000
D3_8	C3	215	000	000	099	150	000
D3_9	C3	223	126	110	094	150	215
D3_10	C3	215	126	110	099	144	219
D3_11	C3	215	160	110	094	150	215
D3_12	C3	223	126	113	094	144	215
D3_13	C3	215	126	110	094	144	219
D3_14	C3	223	126	113	094	150	219
D3_15	C3	223	000	000	094	144	000
D3_16	C3	215	000	000	094	150	000
D3_17	C3	215	160	113	099	150	219
D3_18	C3	215	160	110	099	150	215
D3_19	C3	223	160	110	094	150	215
D3_20	C3	215	126	113	099	144	215
D3_21	C3	223	126	113	099	150	215
D3_22	C3	215	126	113	099	144	219
D3_23	C3	223	126	113	094	144	215
D3_24	C3	215	160	113	094	150	219
D3_25	C3	215	160	110	094	150	219
D3_26	C3	215	160	110	099	144	219
D3_27	C3	223	160	113	094	150	215
D3_28	C3	223	126	113	094	144	219
D3_29	C3	215	160	113	094	144	219
D3_30	C3	223	126	110	094	144	215
D3_31	C3	215	126	113	094	144	215
D3_32	C3	223	160	113	099	150	219
D3_33	C3	223	160	110	099	144	219
D3_34	C3	215	126	113	094	150	215
D3_35	C3	215	126	110	094	144	219
D3_36	C3	223	160	113	094	144	219
D3_37	C3	223	126	110	094	150	215
D3_38	C3	215	126	113	094	150	215
D3_39	C3	223	126	000	099	144	000
D3_40	C3	223	160	113	099	150	219
D3_41	C3	223	160	110	099	144	215
D3_42	C3	223	160	110	094	150	219
D3_43	C3	215	160	110	094	150	215
D3_44	C3	223	160	110	099	144	219
D3_45	C3	223	126	110	094	150	219
D3_46	C3	215	126	110	099	150	219
D3_47	C3	215	000	000	099	144	000
D3_48	C3	223	000	000	094	150	000
Q4	C4	223227	128132	107111	097099	144150	224232
W4_1	C4	000000	000000	100107	097097	139150	232246
W4_2	C4	000000	000000	099111	094097	144144	217224
W4_3	C4	000000	000000	107114	099101	139150	221224
W4_4	C4	000000	000000	107107	099104	150150	215224
W4_5	C4	000000	000000	111114	097101	139150	221224
W4_6	C4	000000	000000	107107	099104	150150	215224
W4_7	C4	000000	000000	100111	097101	144150	232236
W4_8	C4	000000	000000	100111	099101	144150	232236
W4_9	C4	000000	000000	111111	097099	147150	217224
W4_10	C4	000000	000000	107107	099121	144150	213232
W4_11	C4	000000	000000	100111	099101	150150	232236
W4_12	C4	000000	000000	099107	094097	144150	217232
W4_13	C4	000000	000000	100111	097101	144150	232236
W4_14	C4	000000	000000	111111	099104	150150	215224
W4_15	C4	000000	000000	107107	097104	150150	215232
W4_16	C4	000000	000000	107114	099101	139150	221232
W4_17	C4	000000	000000	111111	099112	145150	221232
W4_18	C4	000000	000000	100111	097097	139144	232246
W4_19	C4	000000	000000	107107	097104	150150	215232
W4_20	C4	000000	000000	099107	094099	144150	217224
W4_21	C4	000000	000000	111111	099121	150150	213232
W4_22	C4	000000	000000	107107	097112	145150	221224
W4_23	C4	000000	000000	107107	097101	150150	221232
W4_24	C4	000000	000000	111111	099104	150150	215232
W4_25	C4	000000	000000	107107	099104	150150	215224
W4_26	C4	000000	000000	102107	097122	144150	224234
W4_27	C4	000000	000000	099111	094099	000000	217224
W4_28	C4	000000	000000	100111	000000	000000	224236
W4_29	C4	000000	000000	100111	099101	144150	232236
W4_30	C4	000000	000000	111111	092097	150150	221224
W4_31	C4	000000	000000	107107	099104	150150	215232
W4_32	C4	000000	000000	107107	097112	144145	221232
W4_33	C4	000000	000000	102107	000000	000000	232234
W4_34	C4	000000	000000	107107	097099	147150	217232
W4_36	C4	000000	000000	099111	099119	144150	224246
W4_37	C4	000000	000000	107107	099101	144150	221232
W4_38	C4	000000	000000	111111	092099	144150	221224
W4_39	C4	000000	000000	102107	099122	150150	224234
W4_40	C4	000000	000000	111111	099112	144145	221224
W4_41	C4	000000	000000	111111	097101	144150	221224
W4_42	C4	000000	000000	107107	097104	144150	215232
W4_43	C4	000000	000000	107107	097101	144150	221232
W4_44	C4	000000	000000	100107	097097	139150	224246
W4_45	C4	000000	000000	107111	092099	144150	221232
W4_46	C4	000000	000000	111111	099104	144150	215232
W4_47	C4	000000	000000	107114	099101	139150	221232
W4_48	C4	000000	000000	107107	099121	144150	213224
W4_49	C4	000000	000000	111111	099112	145150	221224
W4_50	C4	000000	000000	099107	097099	144150	217224
W4_51	C4	000000	000000	099107	000000	000000	217224
W4_52	C4	000000	000000	107107	097104	150150	215224
W4_53	C4	000000	000000	111111	099104	144150	215232
W4_54	C4	000000	000000	111111	099104	150150	215232
W4_55	C4	000000	000000	099111	094097	144150	217232
W4_56	C4	000000	000000	099111	094099	000000	217232
W4_57	C4	000000	000000	100107	099101	150150	224236
W4_58	C4	000000	000000	100111	099099	139150	232246
W4_59	C4	000000	000000	100107	099101	150150	224236
W4_60	C4	000000	000000	099107	094099	144144	217224
W4_61	C4	000000	000000	099111	094099	144144	217224
W4_62	C4	000000	000000	099111	099119	144144	232246
W4_63	C4	000000	000000	102111	099099	144150	232234
W4_64	C4	000000	000000	099107	099119	144150	224246
W4_65	C4	000000	000000	099111	094099	144150	217232
W4_66	C4	000000	000000	111111	097099	147150	217232
W4_67	C4	000000	000000	000000	094097	144150	000000
W4_68	C4	000000	000000	099111	094097	144144	217232
W4_69	C4	000000	000000	107107	097112	144145	221224
W4_70	C4	000000	000000	102111	097122	150150	232234
W4_72	C4	000000	000000	111111	099099	144144	217224
W4_73	C4	000000	000000	000000	097104	144150	000000
W4_74	C4	000000	000000	099111	099119	000000	232246
W4_75	C4	000000	000000	102107	097122	144144	232234
W4_76	C4	000000	000000	107107	097104	150150	215232
W4_77	C4	000000	000000	102107	097122	144150	217232
D4_1	C4	223	000	000	097	144	000
D4_5	C4	227	128	107	097	150	000
D4_6	C4	223	128	107	097	150	224
D4_10	C4	227	132	107	097	150	232
D4_13	C4	000	132	107	099	150	232
D4_14	C4	223	128	107	099	150	224
D4_15	C4	000	128	107	097	150	000
D4_16	C4	223	132	107	099	150	224
D4_19	C4	223	132	107	097	144	224
D4_20	C4	223	132	107	099	150	232
D4_21	C4	223	132	107	097	144	224
D4_22	C4	223	128	107	099	144	224
D4_23	C4	227	128	107	099	144	232
D4_25	C4	227	128	107	099	144	224
D4_27	C4	223	132	107	099	150	224
D4_28	C4	227	128	107	097	150	232
D4_29	C4	223	132	107	097	150	224
D4_32	C4	000	132	107	000	150	232
D4_35	C4	223	128	107	099	150	224
D4_36	C4	227	128	107	099	144	232
D4_37	C4	223	128	107	097	150	224
D4_39	C4	223	128	107	097	144	224
D4_40	C4	227	132	107	099	150	224
D4_42	C4	223	132	107	099	150	232
D4_43	C4	227	132	107	099	150	224
D4_44	C4	227	132	107	097	144	232
D4_45	C4	223	132	107	097	144	232
D4_47	C4	223	132	107	099	150	224
D4_50	C4	227	128	107	097	150	224
D4_51	C4	223	128	107	097	150	224
D4_52	C4	223	128	107	097	150	224
D4_54	C4	227	128	107	099	144	224
D4_58	C4	227	128	107	097	150	232
D4_62	C4	223	128	107	097	150	224
D4_63	C4	227	132	107	097	150	224
D4_64	C4	223	132	107	097	150	224
D4_66	C4	223	128	107	097	144	224
D4_67	C4	227	132	107	097	150	232
D4_68	C4	223	128	107	099	150	224
D4_69	C4	227	128	107	097	150	232
D4_71	C4	227	128	107	099	144	232
D4_72	C4	223	132	107	097	150	232
D4_73	C4	223	132	107	097	150	224
D4_75	C4	227	132	107	099	150	224
D4_77	C4	223	132	107	099	150	232
D4_78	C4	223	132	107	099	150	232
D4_81	C4	227	132	107	097	150	224
D4_82	C4	223	132	107	099	150	224
D4_83	C4	227	132	107	099	150	224
D4_85	C4	223	132	107	099	150	224
D4_88	C4	000	132	107	000	000	232
D4_89	C4	227	128	107	097	150	224
D4_91	C4	227	128	107	099	150	224
D4_93	C4	223	132	107	097	150	232
D4_95	C4	000	128	107	000	000	224
Q5_1	C51	209209	130132	104111	092125	147152	215219
W5_1	C51	000000	000000	104111	092125	147154	219219
W5_2	C51	000000	000000	111111	092099	152152	215219
